#"Status","Id","Translation","Synonyms"
"T","102073","Medial palpebral commissure",""
"T","102085","Lateral angle of eye",""
"T","102099","Medial angle of eye",""
"T","102103","Infrapalpebral sulcus",""
"T","102116","Palpebronasal fold","Medial canthic fold"
"T","102127","Infraorbital region",""
"T","102134","Buccal region",""
"T","102142","Parotideomasseteric region",""
"T","102150","Zygomatic region",""
"T","102169","Nasal region",""
"T","102175","Root of nose",""
"T","102188","Dorsum of nose",""
"T","102191","Apex of nose","Tip of nose"
"T","102209","Nasolabial sulcus",""
"T","102214","Oral region",""
"T","102223","Philtrum",""
"T","102238","Tubercle of upper lip","Tubercle of superior lip"
"T","102246","Labial commissure",""
"T","102251","Angle of mouth",""
"T","102267","Mentolabial sulcus",""
"T","102272","Mental region",""
"T","102280","Regions of neck","Cervical region"
"T","102295","Anterior region of neck","Anterior cervical region"
"T","102307","Anterior triangle of neck","Anterior cervical triangle"
"T","102310","Suprahyoid region",""
"T","102329","Submandibular triangle",""
"T","102332","Submental triangle",""
"T","102341","Infrahyoid region",""
"T","102355","Carotid triangle",""
"T","102364","Muscular triangle","Omotracheal triangle"
"T","102378","Sternocleidomastoid region",""
"T","102386","Lesser supraclavicular fossa",""
"T","102393","Lateral region of neck","Lateral cervical region; Posterior triangle of neck; Posterior cervical triangle"
"T","102406","Greater supraclavicular fossa",""
"T","102411","Omoclavicular triangle","Subclavian triangle"
"T","102422","Occipital triangle",""
"T","102433","Posterior region of neck","Posterior cervical region"
"T","102440","Regions of thorax","Thoracic region"
"T","102454","Anterior region of thorax","Anterior thoracic region; Anterior chest; Front of chest"
"T","102465","Precordium",""
"T","102479","Presternal region",""
"T","102487","Infraclavicular fossa",""
"T","102498","Deltopectoral triangle","Clavipectoral triangle"
"T","102501","Deltopectoral groove",""
"T","102517","Pectoral region",""
"T","102525","Mammary region",""
"T","102530","Inframammary region",""
"T","102549","Lateral region of thorax","Lateral thoracic region"
"T","102558","Regions of abdomen","Abdominal region"
"T","102563","Hypochondriac region",""
"T","102574","Epigastric region",""
"T","102582","Epigastric fossa",""
"T","102596","Lateral region of abdomen","Flank"
"T","102605","Umbilical region",""
"T","102618","Umbilicus",""
"T","102626","Inguinal region","Groin"
"T","102639","Hypogastric region","Pubic region"
"T","102647","Regions of back","Back region"
"T","102652","Vertebral region",""
"T","102660","Scapular region",""
"T","102671","Triangle of auscultation","Auscultatory triangle"
"T","102683","Infrascapular region",""
"T","102694","Lumbar region",""
"T","102708","Lumbar triangle","Inferior lumbar triangle"
"T","102719","Superior lumbar triangle",""
"T","102724","Sacral region",""
"T","102735","Sacroiliac dimple","Gluteal dimple"
"T","102743","Coccygeal region",""
"T","102756","Coccygeal foveola",""
"T","102762","Regions of perineum","Perineal region"
"T","102770","Anal region",""
"T","102781","Anal triangle",""
"T","102797","Urogenital region","Urogenital triangle"
"T","102802","Regions of upper limb",""
"T","102815","Axillary region",""
"T","102828","Axillary fossa",""
"T","102831","Deltoid region",""
"T","102844","Brachial region","Arm region"
"T","102853","Anterior region of arm","Anterior brachial region"
"T","102866","Lateral bicipital groove",""
"T","102877","Medial bicipital groove",""
"T","102889","Posterior region of arm","Posterior brachial region"
"T","102890","Cubital region","Elbow region"
"T","102900","Anterior region of elbow","Anterior cubital region"
"T","102913","Cubital fossa","Antecubital fossa"
"T","102921","Posterior region of elbow","Posterior cubital region"
"T","102937","Antebrachial region","Forearm region"
"T","102945","Anterior region of forearm","Anterior antebrachial region"
"T","102959","Posterior region of forearm","Posterior antebrachial region"
"T","102968","Lateral border of forearm","Radial border of forearm"
"T","102976","Medial border of forearm","Ulnar border of forearm"
"T","102984","Carpal region","Wrist region"
"T","102992","Anterior region of wrist","Anterior carpal region"
"T","103006","Posterior region of wrist","Posterior carpal region"
"T","103011","Radial foveola","Anatomical snuffbox"
"T","103022","Regions of hand","Hand region"
"T","103033","Metacarpal region",""
"T","103040","Dorsum of hand","Dorsal region of hand"
"T","103054","Palm","Palmar region"
"T","103065","Thenar eminence",""
"T","103079","Hypothenar eminence",""
"T","103087","Regions of digits of hand",""
"T","103098","Palmar surfaces of digits of hand",""
"T","103104","Dorsal surfaces of digits of hand",""
"T","103112","Interdigital spaces of hand","Interdigital spaces 1-4 of hand; Web spaces of hand"
"T","103120","Regions of lower limb",""
"T","103136","Gluteal region",""
"T","103148","Intergluteal cleft","Anal cleft; Natal cleft"
"T","103157","Gluteal fold",""
"T","103161","Hip region",""
"T","103173","Femoral region",""
"T","103185","Anterior region of thigh","Anterior femoral region"
"T","103199","Femoral triangle",""
"T","103200","Posterior region of thigh","Posterior femoral region"
"T","103213","Knee region",""
"T","103221","Anterior region of knee","Anterior knee region"
"T","103237","Posterior region of knee","Posterior knee region"
"T","103245","Popliteal fossa",""
"T","103259","Leg region",""
"T","103268","Anterior region of leg","Anterior leg region"
"T","103276","Posterior region of leg","Posterior leg region"
"T","103284","Sural region","Calf region"
"T","103292","Talocrural region","Ankle region"
"T","103305","Anterior region of ankle","Anterior talocrural region; Anterior ankle region"
"T","103318","Posterior region of ankle","Posterior talocrural region; Posterior ankle region"
"T","103326","Lateral retromalleolar region",""
"T","103339","Medial retromalleolar region",""
"T","103347","Regions of foot","Foot region"
"T","103352","Heel region",""
"T","103360","Dorsum of foot","Dorsal region of foot; Superior region of foot"
"T","103371","Sole","Plantar region; Inferior region of foot"
"T","103383","Longitudinal arch of foot",""
"T","103394","Lateral part of longitudinal arch of foot",""
"T","103409","Medial part of longitudinal arch of foot",""
"T","103414","Proximal transverse arch of foot",""
"T","103423","Distal transverse arch of foot",""
"T","103438","Lateral border of foot","Fibular border of foot; Peroneal border of foot"
"T","103446","Medial border of foot","Tibial border of foot"
"T","103451","Metatarsal region",""
"T","103467","Hallucial eminence","Ball of foot"
"T","103472","Regions of digits of foot","Regions of toes"
"T","103480","Plantar surfaces of digits of foot","Plantar surfaces of toes"
"T","103495","Dorsal surfaces of digits of foot","Dorsal surfaces of toes"
"T","103508","Interdigital spaces of foot","Interdigital spaces 1-4 of foot; Web spaces of foot"
"T","103519","Musculoskeletal systems",""
"T","103524","Skeletal system","Skeleton"
"T","103535","Axial skeleton",""
"T","103543","Neurocranium",""
"T","103556","Viscerocranium",""
"T","103562","Facial bones",""
"T","103570","Chondrocranium",""
"T","103581","Desmocranium",""
"T","103597","Appendicular skeleton",""
"T","103607","Skeleton of upper limbs",""
"T","103610","Pectoral girdle","Upper limb girdle; Shoulder girdle"
"T","103629","Skeleton of free upper limb",""
"T","103632","Skeleton of lower limbs",""
"T","103641","Pelvic girdle","Lower limb girdle"
"T","103655","Skeleton of free lower limb",""
"T","103664","Bones",""
"T","103678","Membranous bone","Membrane bone"
"T","103686","Endochondral bone","Cartilaginous bone"
"T","103693","Long bone",""
"T","103701","Short bone",""
"T","103717","Flat bone",""
"T","103725","Irregular bone",""
"T","103730","Pneumatized bone",""
"T","103749","Sesamoid bone",""
"T","103758","Accessory bone",""
"T","103763","Supernumerary bone",""
"T","103774","Bone",""
"T","103782","Bony part of bone",""
"T","103796","Compact bone","Dense bone"
"T","103803","Spongy bone","Trabecular bone; Cancellous bone"
"T","103816","Cartilaginous part of bone",""
"T","103827","Articular cartilage",""
"T","103834","Membranous part of bone",""
"T","103842","Periosteum",""
"T","103850","Perichondrium",""
"T","103869","Medullary cavity","Marrow cavity; Medullary part of bone"
"T","103875","Endosteum",""
"T","103888","Bone marrow",""
"T","103891","Yellow bone marrow",""
"T","103902","Red bone marrow",""
"T","103915","Diaphysis","Shaft"
"T","103928","Metaphysis",""
"T","103931","Epiphysis",""
"T","103944","Epiphyseal cartilage","Growth cartilage"
"T","103953","Epiphyseal plate","Growth plate"
"T","103966","Epiphyseal line",""
"T","103977","Apophysis",""
"T","103989","Articular surface","Articular facet"
"T","103990","Articular fossa",""
"T","104008","Articular head",""
"T","104019","Nutrient foramen",""
"T","104024","Nutrient canal",""
"T","104035","Ossification centers",""
"T","104043","Primary ossification center","Primary centre of ossification; Primary center of ossification"
"T","104056","Secondary ossification center","Secondary centre of ossificiation; Secondary center of ossificiation"
"T","104062","Cranium","Skull"
"T","104070","Frontal aspect of cranium","Facial aspect of cranium"
"T","104081","Superior aspect of cranium","Vertex aspect; Vertical aspect of cranium"
"T","104097","Occipital aspect of cranium",""
"T","104100","Lateral aspect of cranium",""
"T","104113","Inferior aspect of cranium",""
"T","104121","Pericranium",""
"T","104137","Cranial cavity",""
"T","104145","Forehead of cranium",""
"T","104159","Occiput of cranium",""
"T","104168","Vertex of cranium",""
"T","104176","Nasion",""
"T","104184","Bregma",""
"T","104192","Lambda",""
"T","104202","Inion",""
"T","104215","Pterion",""
"T","104228","Asterion",""
"T","104231","Porion",""
"T","104244","Basion",""
"T","104253","Opisthion",""
"T","104266","Temporal fossa",""
"T","104277","Zygomatic arch",""
"T","104289","Infratemporal fossa",""
"T","104290","Pterygopalatine fossa",""
"T","104304","Pterygomaxillary fissure",""
"T","104312","Fontanelles",""
"T","104320","Anterior fontanelle",""
"T","104336","Posterior fontanelle",""
"T","104348","Sphenoidal fontanelle","Anterolateral fontanelle"
"T","104357","Mastoid fontanelle","Posterolateral fontanelle"
"T","104361","Calvaria",""
"T","104373","External table of calvaria","Outer table"
"T","104385","Diploe",""
"T","104399","Diploic canals",""
"T","104407","Internal table of calvaria","Inner table"
"T","104410","Groove for superior sagittal sinus",""
"T","104429","Granular foveolae",""
"T","104432","Impressions of cerebral gyri",""
"T","104441","Eminences of cerebral sulci",""
"T","104455","Venous grooves","Grooves for veins"
"T","104464","Arterial grooves","Grooves for arteries"
"T","104478","Cranial base","Basicranium"
"T","104486","Internal surface of cranial base",""
"T","104493","Sphenopetrosal fissure","Petrosphenoidal fissure"
"T","104503","Petrooccipital fissure",""
"T","104516","Anterior cranial fossa",""
"T","104527","Middle cranial fossa",""
"T","104534","Posterior cranial fossa",""
"T","104542","Clivus",""
"T","104550","Groove for inferior pertrosal sinus",""
"T","104569","Groove for sigmoid sinus",""
"T","104575","External surface of cranial base",""
"T","104588","Jugular foramen",""
"T","104591","Foramen lacerum",""
"T","104606","Sphenotemporal foramen","Orbitomeningeal foramen"
"T","104611","Bony palate",""
"T","104622","Greater palatine canal","Pterygopalatine canal"
"T","104633","Greater palatine foramen",""
"T","104640","Incisive fossa",""
"T","104654","Palatine torus",""
"T","104665","Palatovaginal canal",""
"T","104679","Vomerovaginal canal",""
"T","104687","Vomerorostral canal",""
"T","104698","Orbit","Bony orbit"
"T","104709","Periorbita",""
"T","104714","Orbital septum",""
"T","104723","Orbital cavity",""
"T","104738","Orbital opening",""
"T","104746","Orbital margin",""
"T","104751","Supraorbital margin","Superior orbital margin"
"T","104767","Infraorbital margin","Inferior orbital margin"
"T","104772","Lateral margin of orbit","Lateral orbital margin"
"T","104780","Medial margin of orbit","Medial orbital margin"
"T","104795","Roof of orbit","Superior wall of orbit; Vault of orbit"
"T","104805","Floor of orbit","Inferior wall of orbit"
"T","104818","Lateral wall of orbit",""
"T","104826","Cranioorbital foramen",""
"T","104839","Medial wall of orbit",""
"T","104847","Anterior ethmoidal foramen",""
"T","104852","Posterior ethmoidal foramen",""
"T","104860","Fossa for lacrimal sac",""
"T","104871","Apex of orbit",""
"T","104883","Superior orbital fissure",""
"T","104894","Inferior orbital fissure","Sphenomaxillary fissure"
"T","104901","Nasolacrimal canal",""
"T","104917","Bony part of nasal septum","Bony nasal septum; Bony septum of nose"
"T","104925","Nasal cavity of cranium","Bony nasal cavity"
"T","104930","Piriform aperture",""
"T","104949","Superior nasal meatus of cranium",""
"T","104958","Middle nasal meatus of cranium",""
"T","104963","Inferior nasal meatus of cranium",""
"T","104974","Opening of nasolacrimal canal",""
"T","104982","Common nasal meatus of cranium",""
"T","104996","Sphenoethmoidal recess of cranium",""
"T","105001","Nasopharyngeal meatus of cranium",""
"T","105017","Choana of cranium","Posterior nasal aperture of cranium"
"T","105025","Sphenopalatine foramen",""
"T","105030","Bones of cranium","Bones of skull"
"T","105049","Parietal bone",""
"T","105058","Internal surface of parietal bone","Inner surface of parietal bone"
"T","105063","Groove for middle meningeal artery",""
"T","105074","External surface of parietal bone","Outer surface of parietal bone"
"T","105082","Superior temporal line",""
"T","105096","Inferior temporal line",""
"T","105105","Parietal eminence","Parietal tuber"
"T","105118","Occipital border of parietal bone",""
"T","105126","Squamosal border of parietal bone",""
"T","105139","Sagittal border of parietal bone",""
"T","105147","Frontal border of parietal bone",""
"T","105152","Frontal angle of parietal bone",""
"T","105160","Occipital angle of parietal bone",""
"T","105171","Sphenoidal angle of parietal bone",""
"T","105183","Mastoid angle of parietal bone",""
"T","105194","Parietal foramen","Foramen for parietal emissary vein; Parietal emissary foramen"
"T","105208","Frontal bone",""
"T","105219","Squamous part of frontal bone",""
"T","105224","External surface of squamous part of frontal bone","Outer surface of squamous part of frontal bone"
"T","105235","Frontal eminence","Frontal tuber"
"T","105243","Superciliary arch",""
"T","105256","Glabella",""
"T","105262","Frontal part of orbital margin",""
"T","105270","Supraorbital foramen",""
"T","105281","Supraorbital notch",""
"T","105297","Frontal notch","Supratrochlear notch"
"T","105306","Frontal foramen",""
"T","105311","Temporal surface of frontal bone",""
"T","105322","Parietal margin of frontal bone",""
"T","105333","Temporal line",""
"T","105340","Zygomatic process of frontal bone",""
"T","105354","Internal surface of squamous part of frontal bone","Inner surface of squamous part of frontal bone"
"T","105365","Frontal crest",""
"T","105379","Foramen cecum of frontal bone",""
"T","105387","Nasal part of frontal bone",""
"T","105398","Nasal spine of frontal bone",""
"T","105404","Nasal margin of frontal bone",""
"T","105412","Orbital part of frontal bone",""
"T","105420","Orbital plate of frontal bone",""
"T","105436","Orbital surface of frontal bone",""
"T","105448","Trochlear spine",""
"T","105457","Trochlear fovea",""
"T","105461","Fossa for lacrimal gland","Lacrimal fossa"
"T","105473","Sphenoidal margin of frontal bone",""
"T","105485","Ethmoidal notch",""
"T","105499","Sinus of frontal bone","Bony frontal sinus"
"T","105500","Opening of frontal sinus",""
"T","105513","Septum of frontal sinuses",""
"T","105521","Occipital bone",""
"T","105537","Foramen magnum",""
"T","105545","Basilar part of occipital bone",""
"T","105559","Pharyngeal tubercle",""
"T","105568","Lateral part of occipital bone",""
"T","105576","Occipital condyle",""
"T","105584","Condylar canal","Posterior condylar canal"
"T","105592","Hypoglossal canal",""
"T","105602","Condylar fossa",""
"T","105615","Jugular tubercle",""
"T","105628","Jugular notch of occipital bone",""
"T","105631","Jugular process",""
"T","105644","Intrajugular process of occipital bone",""
"T","105653","Squamous part of occipital bone",""
"T","105666","Mastoid border of occipital bone",""
"T","105677","Lambdoidal border of occipital bone","Lambdoid border of occipital bone"
"T","105689","External occipital protuberance",""
"T","105690","External occipital crest",""
"T","105703","Supreme nuchal line","Highest nuchal line"
"T","105716","Superior nuchal line",""
"T","105727","Inferior nuchal line",""
"T","105734","Occipital plane",""
"T","105742","Cruciform eminence",""
"T","105750","Internal occipital protuberance",""
"T","105769","Internal occipital crest",""
"T","105775","Groove for transverse sinus",""
"T","105788","Groove for occipital sinus",""
"T","105791","Groove for marginal sinus",""
"T","105809","Paramastoid process",""
"T","105814","Cerebral fossa",""
"T","105823","Cerebellar fossa",""
"T","105838","Vermian fossa",""
"T","105846","Sphenoid bone","Sphenoid; Sphenoidal bone"
"T","105851","Body of sphenoid bone",""
"T","105867","Sphenoidal yoke",""
"T","105872","Limbus of sphenoid",""
"T","105880","Chiasmatic sulcus","Prechiasmatic sulcus"
"T","105895","Sella turcica",""
"T","105907","Tuberculum sellae",""
"T","105910","Middle clinoid process",""
"T","105929","Hypophyseal fossa","Pituitary fossa"
"T","105932","Craniopharyngeal canal",""
"T","105941","Dorsum sellae",""
"T","105955","Posterior clinoid process",""
"T","105964","Carotid sulcus",""
"T","105978","Sphenoidal lingula",""
"T","105986","Sphenoidal crest",""
"T","105993","Sphenoidal rostrum",""
"T","106005","Sinus of sphenoidal bone","Bony sphenoidal sinus"
"T","106018","Opening of sinus of sphenoidal bone",""
"T","106026","Septum of sphenoidal sinuses",""
"T","106039","Sphenoidal concha","Sphenoidal turbinate"
"T","106047","Lesser wing",""
"T","106052","Optic canal","Optic foramen"
"T","106060","Infraoptic tubercle",""
"T","106071","Anterior clinoid process",""
"T","106083","Caroticoclinoid foramen",""
"T","106094","Crista alaris",""
"T","106107","Greater wing",""
"T","106110","Cerebral surface of greater wing",""
"T","106129","Temporal surface of greater wing",""
"T","106132","Infratemporal surface of greater wing",""
"T","106141","Infratemporal crest",""
"T","106155","Maxillary surface of greater wing",""
"T","106164","Orbital surface of greater wing",""
"T","106178","Zygomatic margin of greater wing",""
"T","106186","Frontal margin of greater wing",""
"T","106193","Parietal margin of greater wing",""
"T","106204","Squamosal margin of greater wing",""
"T","106212","Foramen rotundum",""
"T","106220","Foramen ovale",""
"T","106236","Sphenoidal emissary foramen",""
"T","106248","Foramen spinosum",""
"T","106257","Foramen petrosum",""
"T","106261","Spine of sphenoid bone",""
"T","106273","Sulcus of auditory tube",""
"T","106285","Pterygoid process",""
"T","106299","Lateral pterygoid plate","Lateral plate of pterygoid process"
"T","106301","Medial pterygoid plate","Medial plate of pterygoid process"
"T","106317","Pterygoid notch",""
"T","106325","Pterygoid fossa",""
"T","106330","Scaphoid fossa",""
"T","106349","Vaginal process of sphenoid bone",""
"T","106358","Palatovaginal groove",""
"T","106363","Vomerovaginal groove",""
"T","106374","Pterygoid hamulus",""
"T","106382","Groove of pterygoid hamulus",""
"T","106396","Pterygoid canal",""
"T","106400","Pterygospinous process",""
"T","106413","Temporal bone",""
"T","106421","Petrous part of temporal bone",""
"T","106437","Occipital margin of temporal bone",""
"T","106445","Mastoid process",""
"T","106459","Mastoid antrum",""
"T","106468","Mastoid cells",""
"T","106476","Mastoid notch",""
"T","106484","Groove for occipital artery","Occipital groove"
"T","106492","Mastoid foramen","Mastoid emissary foramen"
"T","106506","Apex of petrous part",""
"T","106511","Carotid canal",""
"T","106522","External opening of carotid canal",""
"T","106533","Internal opening of carotid canal",""
"T","106540","Caroticotympanic canaliculi",""
"T","106554","Musculotubal canal",""
"T","106565","Semicanal for tensor tympani","Semicanal for tensor tympani muscle; Canal for tensor tympani"
"T","106579","Semicanal for auditory tube","Canal for auditory tube; Bony auditory tube"
"T","106587","Septum of musculotubal canal",""
"T","106598","Anterior surface of petrous part",""
"T","106603","Tegmen tympani",""
"T","106616","Arcuate eminence",""
"T","106627","Hiatus for greater petrosal nerve","Facial hiatus"
"T","106634","Groove for greater petrosal nerve",""
"T","106642","Hiatus for lesser petrosal nerve",""
"T","106650","Groove for lesser petrosal nerve",""
"T","106669","Trigeminal impression",""
"T","106675","Petrous ridge","Superior border of petrous part"
"T","106688","Groove for superior petrosal sinus",""
"T","106691","Posterior surface of petrous part",""
"T","106702","Internal acoustic opening",""
"T","106715","Internal acoustic meatus","Internal auditory canal"
"T","106728","Subarcuate fossa",""
"T","106731","Vestibular canaliculus",""
"T","106744","Opening of vestibular canaliculus",""
"T","106753","Posterior border of petrous part",""
"T","106766","Jugular notch of temporal bone",""
"T","106777","Inferior surface of petrous part",""
"T","106789","Jugular fossa",""
"T","106790","Cochlear canaliculus","Cochlear aqueduct"
"T","106808","Opening of cochlear canaliculus","Opening of cochlear aqueduct"
"T","106819","Mastoid canaliculus",""
"T","106824","Intrajugular process of temporal bone",""
"T","106835","Styloid process of temporal bone",""
"T","106843","Stylomastoid foramen",""
"T","106856","Inferior tympanic canaliculus","Tympanic canaliculus"
"T","106862","Petrosal fossula",""
"T","106870","Bony tympanic cavity",""
"T","106881","Facial canal",""
"T","106897","Geniculum of facial canal","Genu of facial canal"
"T","106909","Posterior tympanic canaliculus","Canaliculus for chorda tympani"
"T","106914","Anterior tympanic canaliculus",""
"T","106923","Bony labyrinth",""
"T","106938","Tympanic part of temporal bone",""
"T","106946","Tympanic ring",""
"T","106951","Bony external acoustic opening","Bony external auditory opening"
"T","106967","Bony external acoustic meatus","Bony external auditory canal"
"T","106972","Greater tympanic spine",""
"T","106980","Lesser tympanic spine",""
"T","106995","Tympanic sulcus",""
"T","107002","Tympanic notch",""
"T","107015","Sheath of styloid process",""
"T","107028","Squamous part of temporal bone",""
"T","107031","Parietal border of temporal bone",""
"T","107044","Parietal notch",""
"T","107053","Sphenoidal margin of temporal bone",""
"T","107066","Temporal surface of temporal bone",""
"T","107077","Groove for middle temporal artery",""
"T","107089","Zygomatic process of temporal bone",""
"T","107090","Supramastoid crest",""
"T","107106","Suprameatal fovea",""
"T","107111","Suprameatal spine",""
"T","107122","Mandibular fossa",""
"T","107133","Articular surface of mandibular fossa",""
"T","107140","Articular tubercle",""
"T","107154","Articular eminence",""
"T","107165","Cerebral surface of squamous part of temporal bone",""
"T","107179","Petrotympanic fissure",""
"T","107187","Petrosquamous fissure",""
"T","107198","Tympanosquamous fissure","Squamotympanic fissure"
"T","107201","Tympanomastoid fissure",""
"T","107217","Ethmoid bone","Ethmoid; Ethmoidal bone"
"T","107225","Cribriform plate",""
"T","107230","Cribriform foramina",""
"T","107249","Crista galli",""
"T","107258","Ala of crista galli",""
